case_id	slide_id	ACVR2A_mutation	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	fold_10	fold_11	fold_12	fold_13	fold_14	fold_15	fold_16	fold_17	fold_18	fold_19	fold_20	fold_21	fold_22	fold_23	fold_24	fold_25	fold_26	fold_27	fold_28	fold_29	fold_30	fold_31	fold_32	fold_33	fold_34	fold_35	fold_36	fold_37	fold_38	fold_39	fold_40	fold_41	fold_42	fold_43	fold_44	fold_45	fold_46	fold_47	fold_48	fold_49
11CO072	11CO072-64b606d7-d40f-41ae-b220-a66324	0	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train
11CO058	11CO058-d3078fa8-0692-411f-8441-0c7c48	0	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	test	train	test	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train
01CO015	01CO015-b873f54a-5a86-4dca-90f9-715820	0	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	test	test	test	train	train	train	train	train	train	test	test	train	train	train	train	train	test	test	train	train	train	train	train	train	test	train	train	train
11CO037	11CO037-1563ef63-d2e6-406f-adc1-255949	0	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	test	train	train	train	train	train
11CO079	11CO079-77c493b1-34ba-4efc-8def-987116	0	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	test	test	train	train	train	train	test	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	test	train	train	train	test	train	test
06CO002	06CO002-4b263734-430f-41dc-a296-8691f0	0	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train
14CO003	14CO003-fd4edc52-09ef-4b01-be7c-f23f05	1	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	train	test	train	train	train	test
05CO020	05CO020-803736b3-9ca9-4f9f-bdfe-8783e3	0	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train
22CO004	22CO004-a2f03d85-5f1a-4b3e-9dbf-74e67e	0	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train	train	test	train	train	test	train	train	test	train	test	train	test	train	test	train	train	test	train	train	train	train	train	test	train	train	train	train	train	test	test	train	train	train	train
05CO026	05CO026-b2615b47-5ac2-4775-9205-50990d	0	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	test	train	train	train	test	train	test	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train
11CO077	11CO077-5557e478-3e6f-475b-8acc-1b4159	0	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	test	train	train	train	train	train	test	train	train	train	train	test	test	train	test	train	train	train	train	train	train	train	train	test	train
11CO070	11CO070-c8694e31-2c8f-4eb6-a7ef-a137d9	0	train	train	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	train	train	test	train	train	train	train	train	test	test	train	train	train	test	train
11CO057	11CO057-e515eb5c-8005-416a-9b42-59de9d	0	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	test	test	train	train	train	train	test	train	test	train	test	train	test	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train
05CO039	05CO039-c952715e-35ca-4e18-ad6f-dd4e39	1	train	train	train	train	train	train	train	train	train	test	train	test	train	test	test	train	train	train	train	train	train	train	train	test	test	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train
05CO033	05CO033-2f8b02e4-1848-4abc-a95e-dd9eb5	0	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	test	test	train	train	train	test	test	train	train
05CO035	05CO035-1312a0e0-5025-433e-9670-0595bb	0	train	train	train	train	train	train	train	train	test	train	test	train	train	train	test	test	train	train	train	train	test	test	train	train	train	train	test	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train
09CO018	09CO018-743c74e4-cd76-4f38-8cb4-3c9107	0	train	train	train	train	train	train	train	train	test	train	test	train	train	test	train	train	test	train	test	train	test	train	train	train	train	train	train	train	train	test	train	train	train	train	test	train	train	train	train	test	train	train	test	test	train	train	train	test	train	train
09CO014	09CO014-1ea1d7ee-e382-4a68-8e7c-74e833	0	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	test	train	train	train	train	train	test	test	train	train	train	train	test	test	train	test	train	train	test	train	train	train	test
20CO007	20CO007-0065bfd9-e1b9-43a8-9379-9658ba	0	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	test	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	test	train
11CO032	11CO032-01d1ffca-4235-4dfe-bf62-56f71d	0	train	train	train	train	train	train	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	test	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train
